CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Point,Source,Media URL
3908319,08/11/2014 03:50:00 PM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Unknown Pole,Intersection of MALLORCA WAY and ALHAMBRA ST,2,Marina,"(37.8025571747067, -122.438000226301)",Voice In,
3903069,08/09/2014 07:40:00 PM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,"1455 MARKET ST, SAN FRANCISCO, CA, 94103",3,Downtown / Union Square,"(37.788261870566, -122.402797909989)",Voice In,
3892185,08/06/2014 09:45:00 AM,,06/29/2015 10:47:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Other_Request_New_Streetlight,Other_Request_New_Streetlight on Unknown Pole,Intersection of CUMBERLAND ST and NOE ST,8,Eureka Valley,"(37.7586223567428, -122.432561004915)",Voice In,
3891511,08/05/2014 10:40:00 PM,,07/27/2015 06:20:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of 3RD ST and MISSION ROCK ST,6,Mission Bay,"(37.7729307401408, -122.389716577705)",Open311,
3891438,08/05/2014 09:31:00 PM,,07/27/2015 06:20:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of 2ND ST and MISSION ST,6,Financial District,"(37.7880071346933, -122.399798008053)",Voice In,
3884542,08/03/2014 03:02:59 PM,,08/03/2014 03:02:59 PM,Open,,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of BUSH ST and VAN NESS AVE,3,Nob Hill,"(37.7884895281133, -122.421948485141)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/53deb189df864ca8c7e54296/photo_20140803_145856.jpg
3877921,07/31/2014 07:36:00 PM,,07/28/2015 07:01:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Concrete Pole,Intersection of 5TH ST and CYRIL MAGNIN ST,6,Downtown / Union Square,"(37.783991416435, -122.408066608285)",Open311,
3872663,07/30/2014 10:01:00 AM,,06/29/2015 10:47:00 AM,Open,accepted,PUC Streetlights Queue,Streetlights,Streetlight - Other_Request_New_Streetlight,Other_Request_New_Streetlight on Unknown Pole,Intersection of SAN BRUNO AVE and SWEENY ST,9,Portola,"(37.7334872561216, -122.40621061022)",Voice In,
3872532,07/30/2014 09:32:00 AM,,06/29/2015 10:47:00 AM,Open,accepted,PUC Streetlights Queue,Streetlights,Streetlight - Other_Request_New_Streetlight,Other_Request_New_Streetlight on Unknown Pole,"850 BRUNSWICK ST, SAN FRANCISCO, CA, 94112",11,Crocker Amazon,"(37.70802713996, -122.450857811286)",Voice In,
3864749,07/28/2014 01:43:00 AM,,07/27/2015 06:20:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Unknown Pole,Intersection of I-80 E OFF RAMP and I-80 W ON RAMP,6,Yerba Buena Island,"(37.809369387, -122.37008526)",Open311,
3864725,07/28/2014 12:48:14 AM,,07/28/2014 12:48:14 AM,Open,,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of SIGNAL RD and ,6,Treasure Island/YBI,"(37.809908678, -122.366039337)",Open311,
3862588,07/27/2014 12:53:00 AM,,07/27/2015 06:20:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,"26 NAVY RD, SAN FRANCISCO, CA, 94124",10,,"(37.729272605, -122.3789572)",Open311,
3862477,07/26/2014 10:02:00 PM,,07/27/2015 06:20:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,"2330 MISSION ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.759722924989, -122.419209025996)",Voice In,
3857675,07/25/2014 03:12:00 AM,,07/27/2015 06:20:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Unknown Pole,Intersection of 13TH ST and HWY 101 S ON RAMP,9,Mission,"(37.769805495, -122.41812502)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/53d22d85df864ca8c7e4e301/photo_20140725_031044.jpg
3857662,07/25/2014 02:27:00 AM,,06/26/2015 06:30:00 PM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Concrete Pole,Intersection of ENGLISH ST and MCCANN ST,10,Hunters Point,"(37.729501266, -122.366993023)",Open311,
3857655,07/25/2014 01:53:00 AM,,07/27/2015 06:20:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of EARL ST and INNES AVE,10,Hunters Point,"(37.7298738494528, -122.37200585378)",Open311,
3857652,07/25/2014 01:45:00 AM,,07/27/2015 06:20:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,"90 HUDSON AVE, SAN FRANCISCO, CA, 94124",10,,"(37.732568388, -122.3795576)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/53d2193cdf864ca8c7e4e22c/photo_20140725_014510.jpg
3857649,07/25/2014 01:36:00 AM,,07/27/2015 06:20:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,"201 MENDELL ST, SAN FRANCISCO, CA, 94124",10,India Basin,"(37.741398489009, -122.383491301696)",Open311,
3857628,07/25/2014 12:40:00 AM,,07/27/2015 06:20:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of CAMPUS WAY and OWENS ST,6,Mission Bay,"(37.7676023495601, -122.393804334763)",Open311,
3857627,07/25/2014 12:36:00 AM,,07/27/2015 06:20:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of 6TH ST and UNNAMED 051,6,Mission Bay,"(37.7697971109318, -122.394711209221)",Open311,
3857626,07/25/2014 12:35:00 AM,,07/27/2015 06:20:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of 6TH ST and UNNAMED 051,6,Mission Bay,"(37.7697971109318, -122.394711209221)",Open311,
3857625,07/25/2014 12:34:00 AM,,07/27/2015 06:20:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of 6TH ST and UNNAMED 051,6,Mission Bay,"(37.7697971109318, -122.394711209221)",Open311,
3857624,07/25/2014 12:33:00 AM,,07/27/2015 06:20:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of 6TH ST and CHANNEL ST,6,Mission Bay,"(37.7710900560977, -122.396318362427)",Open311,
3857623,07/25/2014 12:32:00 AM,,07/27/2015 06:20:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of I-280 S ON RAMP and I-280 SOUTHBOUND,6,Mission Bay,"(37.7693869942288, -122.397716832596)",Open311,
3857621,07/25/2014 12:31:00 AM,,07/27/2015 06:20:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of I-280 S ON RAMP and I-280 SOUTHBOUND,6,Mission Bay,"(37.7693869942288, -122.397716832596)",Open311,
3857618,07/25/2014 12:28:00 AM,,07/27/2015 06:20:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of 7TH ST and CHANNEL ST,6,Mission Bay,"(37.7697323034709, -122.399045804182)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/53d20707df864ca8c7e4e148/photo_20140725_002722.jpg
